id,date,call,sms,screen,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood,circumplex.arousal,circumplex.valence,activity
AS14.01,2014-02-17,2.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-18,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-19,7.0,2.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-20,2.0,3.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-21,0.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-22,2.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-23,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-24,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-25,3.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-02-26,1.0,2.0,,,,,,,,,,,,,,6.25,-0.25,0.75,
AS14.01,2014-02-27,0.0,0.0,,,,,,,,,,,,,,6.333333333333333,0.0,0.3333333333333333,
AS14.01,2014-02-28,4.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-01,0.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-02,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-03,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-04,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-05,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-06,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-07,5.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-08,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-09,0.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-10,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-11,3.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-12,7.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-13,4.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-14,3.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-15,0.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-16,0.0,3.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-17,0.0,1.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-18,1.0,2.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-19,1.0,0.0,,,,,,,,,,,,,,,,,
AS14.01,2014-03-20,1.0,0.0,2275.9440002441406,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.073999999999998,,,,,0.08154761904761905
AS14.01,2014-03-21,6.0,0.0,17978.907000064843,3139.218,6280.89,1007.456,49.544,,172.20600000000002,239.751,4508.5,915.445,83.183,598.754,,6.2,0.2,0.2,0.13405010398938863
AS14.01,2014-03-22,3.0,1.0,6142.160999536513,731.429,4962.918,93.324,21.076,,115.80733333333333,98.143,439.632,37.305,121.19300000000001,117.62100000000001,,6.4,0.6,0.5,0.23688021923995814
AS14.01,2014-03-23,0.0,0.0,6773.832001447675,1286.246,5237.319,94.346,43.403,,59.40866666666666,72.82300000000001,900.839,228.555,159.20300000000003,30.086,30.386,6.8,0.2,0.8,0.14274111580506366
AS14.01,2014-03-24,10.0,0.0,15047.351000547404,866.956,9270.629,976.9709999999999,34.106,,3.01,66.558,3223.6259999999997,419.805,197.21300000000002,178.732,,6.0,0.8,0.0,0.07896105611559796
